frequency;MAG;PHA
4109.095732;-11.58631152;69.31440677
4124.281683;-11.52799763;69.21297367
4139.523757;-11.46453257;69.1508755
4154.822161;-11.40450119;69.01457522
4170.177103;-11.34505064;68.98748551
4185.588792;-11.29367974;68.92752009
4201.057438;-11.22553498;68.75996924
4216.583251;-11.17121836;68.70846663
4232.166443;-11.11377107;68.63418089
4247.807225;-11.06130097;68.50512156
4263.505811;-10.99656887;68.44864694
4279.262415;-10.93795314;68.38314062
4295.07725;-10.88899237;68.2410221
4310.950531;-10.82595348;68.19679704
4326.882475;-10.77188703;68.12420362
4342.873299;-10.71864563;68.01136624
4358.92322;-10.66644412;67.86584025
4375.032457;-10.63436823;67.79406364
4391.201228;-10.58321287;67.75451745
4407.429754;-10.52619586;67.62626477
4423.718256;-10.46907573;67.54161585
4440.066955;-10.42063066;67.45594973
4456.476074;-10.36504778;67.3356732
4472.945836;-10.31286784;67.26041352
4489.476465;-10.25774491;67.17799929
4506.068186;-10.21118696;67.06799585
4522.721225;-10.15019264;67.01453637
4539.435808;-10.10053976;66.91184853
4556.212164;-10.05206766;66.79642552
4573.050519;-10.00717601;66.72531671
4589.951104;-9.95460863;66.61122398
4606.914149;-9.90859153;66.51944886
4623.939883;-9.783496083;66.4578049
4641.02854;-9.734285013;66.35282835
4658.180351;-9.689048086;66.25802911
4675.395549;-9.640100646;66.16366919
4692.67437;-9.588578241;66.03724553
4710.017048;-9.543121699;65.97378557
4727.423819;-9.488391578;65.85929405
4744.89492;-9.445425038;65.7630076
4762.430589;-9.397649975;65.66517338
4780.031065;-9.347837499;65.58651888
4797.696586;-9.305781278;65.47695515
4815.427394;-9.25457252;65.33606307
4833.223729;-9.201116098;65.26947575
4851.085834;-9.158153814;65.18455425
4869.013952;-9.116021339;65.06155549
4887.008326;-9.111699669;64.96018749
4905.069203;-9.064655595;64.82889176
4923.196827;-9.016907345;64.78183565
4941.391444;-8.970256976;64.65910138
4959.653304;-8.926233337;64.54202816
4977.982654;-8.885688127;64.46329555
4996.379743;-8.839404755;64.35611734
5014.844822;-8.796064289;64.27218695
5033.378143;-8.74969428;64.17934007
5051.979957;-8.70367627;64.05128665
5070.650518;-8.663693473;63.94180645
5089.390079;-8.619593973;63.86979417
5108.198896;-8.579604713;63.73795686
5127.077224;-8.530981092;63.65930377
5146.025321;-8.456836636;63.55018346
5165.043445;-8.41499743;63.4570385
5184.131853;-8.368755768;63.3354176
5203.290806;-8.330047747;63.25584566
5222.520565;-8.285709675;63.11838446
5241.821391;-8.246455118;63.03829171
