Freq.	V(vin)/I(R3)
1.22735445784251e+006	(8.20571677447070e+001dB,1.79957842714314e+002°)
1.25594321575478e+006	(8.20570772696759e+001dB,1.79959350800663e+002°)
1.28519789138443e+006	(8.20569966301861e+001dB,1.79960845970695e+002°)
1.31513399594769e+006	(8.20569255371062e+001dB,1.79962324971216e+002°)
1.34576740196345e+006	(8.20568636727523e+001dB,1.79963784763142e+002°)
1.37711435166908e+006	(8.20568106945056e+001dB,1.79965222531772e+002°)
1.40919146563222e+006	(8.20567662384676e+001dB,1.79966635694295e+002°)
1.44201575156330e+006	(8.20567299231015e+001dB,1.79968021904582e+002°)
1.47560461333319e+006	(8.20567013528147e+001dB,1.79969379055424e+002°)
1.50997586020100e+006	(8.20566801214385e+001dB,1.79970705278336e+002°)
1.54514771625679e+006	(8.20566658155702e+001dB,1.79971998941131e+002°)
1.58113883008418e+006	(8.20566580177447e+001dB,1.79973258643468e+002°)
1.61796828464813e+006	(8.20566563094103e+001dB,1.79974483210577e+002°)
1.65565560741295e+006	(8.20566602736878e+001dB,1.79975671685411e+002°)
1.69422078069600e+006	(8.20566694978993e+001dB,1.79976823319445e+002°)
1.73368425226265e+006	(8.20566835758543e+001dB,1.79977937562348e+002°)
1.77406694616787e+006	(8.20567021098906e+001dB,1.79979014050769e+002°)
1.81539027385050e+006	(8.20567247126675e+001dB,1.79980052596442e+002°)
1.85767614548585e+006	(8.20567510087143e+001dB,1.79981053173805e+002°)
1.90094698160280e+006	(8.20567806357409e+001dB,1.79982015907345e+002°)
1.94522572497139e+006	(8.20568132457196e+001dB,1.79982941058812e+002°)
1.99053585276748e+006	(8.20568485057488e+001dB,1.79983829014484e+002°)
2.03690138902055e+006	(8.20568860987120e+001dB,1.79984680272591e+002°)
2.08434691735167e+006	(8.20569257237473e+001dB,1.79985495431041e+002°)
2.13289759400795e+006	(8.20569670965411e+001dB,1.79986275175529e+002°)
2.18257916120082e+006	(8.20570099494643e+001dB,1.79987020268123e+002°)
2.23341796075480e+006	(8.20570540315648e+001dB,1.79987731536388e+002°)
2.28544094807436e+006	(8.20570991084335e+001dB,1.79988409863093e+002°)
2.33867570643598e+006	(8.20571449619596e+001dB,1.79989056176557e+002°)
2.39315046161318e+006	(8.20571913899894e+001dB,1.79989671441631e+002°)
2.44889409684222e+006	(8.20572382059042e+001dB,1.79990256651354e+002°)
2.50593616813635e+006	(8.20572852381294e+001dB,1.79990812819270e+002°)
2.56430691995681e+006	(8.20573323295887e+001dB,1.79991340972406e+002°)
2.62403730124885e+006	(8.20573793371145e+001dB,1.79991842144903e+002°)
2.68515898185125e+006	(8.20574261308247e+001dB,1.79992317372266e+002°)
2.74770436928811e+006	(8.20574725934763e+001dB,1.79992767686232e+002°)
2.81170662595173e+006	(8.20575186198042e+001dB,1.79993194110209e+002°)
2.87719968668577e+006	(8.20575641158518e+001dB,1.79993597655267e+002°)
2.94421827677793e+006	(8.20576089983023e+001dB,1.79993979316641e+002°)
3.01279793037177e+006	(8.20576531938132e+001dB,1.79994340070721e+002°)
3.08297500930739e+006	(8.20576966383627e+001dB,1.79994680872494e+002°)
3.15478672240095e+006	(8.20577392766089e+001dB,1.79995002653391e+002°)
3.22827114517326e+006	(8.20577810612672e+001dB,1.79995306319522e+002°)
3.30346724003796e+006	(8.20578219525083e+001dB,1.79995592750262e+002°)
3.38041487695989e+006	(8.20578619173780e+001dB,1.79995862797140e+002°)
3.45915485459466e+006	(8.20579009292423e+001dB,1.79996117283032e+002°)
3.53972892192067e+006	(8.20579389672571e+001dB,1.79996357001591e+002°)
3.62217980037493e+006	(8.20579760158652e+001dB,1.79996582716918e+002°)
3.70655120650457e+006	(8.20580120643187e+001dB,1.79996795163430e+002°)
3.79288787514590e+006	(8.20580471062300e+001dB,1.79996995045908e+002°)
3.88123558314344e+006	(8.20580811391477e+001dB,1.79997183039698e+002°)
